Path	Filename	HiFspp	LoFspp	Consensus	ByVote	#Maj	#Accpt	MeanClssn	DiscrProb	Clssn if<Thr	DP if<Thr	Fc mean	Fc StdDev	Dur mean	Dur StdDev	calls/sec	1st	2nd	3rd	4th	<--All spp in sqnc classified with a DP>0.75 in order of prevalence	ParentDir	NextDirUp	FileLngth	Version	Filter	Preemphasis	MaxSegLngth	DP Thr	AccpQuality	AccpQualForTally	Max#CallsConsidered
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00147.wav	H5NF191M00147.wav		1													3.66						H5NF191N1	H5NF191	2999.93	3.22	25 kHz ant-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00148.wav	H5NF191M00148.wav																					H5NF191N1	H5NF191	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00149.wav	H5NF191M00149.wav																					H5NF191N1	H5NF191	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00151.WAV	H5NF191M00151.wav		1		TabrLaci	1	2			Laci/Tabr	0.567/0.433	21.55		11.75		8.05	Tabr	Laci				H5NF191N1	H5NF191	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00153-Laci.wav	H5NF191M00153-Laci.wav		1	Laci	Laci	1	1	Laci	0.9887			17.19		15.05		3.48	Laci					H5NF191N1	H5NF191	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00154.wav	H5NF191M00154.wav		1													1.37						H5NF191N1	H5NF191	2999.93	3.22	25 kHz ant-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00155.wav	H5NF191M00155.wav																					H5NF191N1	H5NF191	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00157-Laci.wav	H5NF191M00157-Laci.wav		1	Laci	Laci	1	1	Laci	0.9999			19.33		4.46		10.42	Laci					H5NF191N1	H5NF191	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00160.wav	H5NF191M00160.wav																					H5NF191N1	H5NF191	2999.93	3.22	20 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00172.wav	H5NF191M00172.wav																					H5NF191N1	H5NF191	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
