"","LONG","LAT","MYYU","MYCA","MYCI","MYVO","MYLU","PAHE","LABO","MYEV","ANPA","EPFU","LANO","MYTH","TABR","LACI","COTO","EUMA","EUPE"
"42",-120.65253,39.82287,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"43",-120.62604,39.92159,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
"44",-120.43809,39.7752,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0
"45",-120.82094,40.22754,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0
"46",-120.75668,40.23626,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0
"47",-120.6538,40.23687,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
"48",-120.76513,40.22155,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
"49",-120.65966,40.13065,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0
"50",-121.06628,40.11019,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
"51",-121.09328,40.10838,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0
"52",-121.44183,39.71114,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0
"53",-121.082917,40.13113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",-121.2308,40.02429,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1
"55",-121.09753,40.13809,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0
"56",-121.35285,39.87469,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"57",-121.18666,39.47105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",-121.17532,39.46685,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",-121.22404,39.49721,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",-121.27536,39.52461,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"61",-121.28769,39.53022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"62",-121.06546,39.9636,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
"63",-121.04017,40.0146,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0
"64",-121.02625,40.01973,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"65",-121.0578,39.85295,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
"66",-120.70955,40.28741,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0
"67",-120.80474,40.26832,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0
"68",-120.88623,40.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",-120.71719,40.23041,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
"70",-120.84178,40.2227,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
"71",-121.24967,39.82332,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
"72",-121.22127,39.78572,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"73",-121.22845,39.78137,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"74",-120.53919,39.69232,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0
"75",-120.50739,39.66322,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"76",-120.90173,39.74457,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"77",-120.78683,39.75097,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"78",-121.02134,40.1413,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0
"79",-120.9907,40.08705,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"80",-120.8992,39.75139,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0
"81",-120.88934,39.75259,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"82",-120.91347,39.74384,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"83",-120.89001,39.75331,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0
"84",-120.91549,39.75402,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0
"85",-120.91285,39.74999,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
"86",-121.09054,40.11971,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"87",-120.81236,40.2226,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0
"88",-121.21249,39.97871,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
"89",-120.82378,40.2378,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
"90",-121.23913,39.92145,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"91",-121.09205,40.11913,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0
"92",-120.64469,39.93297,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
"93",-120.51893,39.71958,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0
"94",-121.18145,39.92187,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"95",-120.56085,40.05492,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0
"96",-120.46091,39.9171,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0
"97",-120.62944,39.68528,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
"98",-120.6561,39.91381,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
"99",-120.50477,40.17503,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0
"100",-120.29188,40.08657,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0
"101",-121.25967,40.02632,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0
"102",-120.34365,40.06257,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",-120.79992,40.20381,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0
"104",-120.50232,40.19494,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
"105",-120.50761,40.22554,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0
"106",-120.51038,39.65134,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"107",-120.61405,39.69536,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"108",-120.65125,40.05503,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
"109",-120.63325,40.07017,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0
"110",-121.23464,39.76839,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"111",-121.24965,39.76943,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"112",-121.12258,40.11494,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"113",-121.46018,39.75331,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"114",-121.18855,40.13125,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0
"115",-121.177799,39.45557,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"116",-121.20934,39.55097,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"117",-120.67243,39.80724,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",-120.68157,39.78867,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
"119",-121.08898,39.59568,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120",-121.0544,39.9698,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",-121.04358,40.03802,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"122",-120.97843,40.01649,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
"123",-121.02557,39.99899,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
