Path	Filename	HiFspp	LoFspp	Consensus	ByVote	#Maj	#Accpt	MeanClssn	DiscrProb	Clssn if<Thr	DP if<Thr	Fc mean	Fc StdDev	Dur mean	Dur StdDev	calls/sec	1st	2nd	3rd	4th	<--All spp in sqnc classified with a DP>0.75 in order of prevalence	ParentDir	NextDirUp	FileLngth	Version	Filter	Preemphasis	MaxSegLngth	DP Thr	AccpQuality	AccpQualForTally	Max#CallsConsidered
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00990.wav	H1NF111n3M00990.wav																					Night3	H1NF111	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00997.wav	H1NF111n3M00997.wav																					Night3	H1NF111	2999.93	3.22	25 kHz ant-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M01002-Myca.wav	H1NF111n3M01002-Myca.wav	1		Myca	Myca	3	3	Myca	0.9905			48.73	1.02	2.28	0.35	7.11	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M01003-Myca.wav	H1NF111n3M01003-Myca.wav	1		Myca	Myca	5	5	Myca	0.9945			50.27	0.85	2.78	0.25	5.40	Myca	Coto				Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M01004.wav	H1NF111n3M01004.wav																					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M01005.wav	H1NF111n3M01005.wav	1														4.91	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M01006.wav	H1NF111n3M01006.wav																					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M01007.wav	H1NF111n3M01007.wav	1														13.19						Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M01008-Myca.wav	H1NF111n3M01008-Myca.wav	1		Myca	Myca	5	5	Myca	0.9880			51.04	1.37	2.40	0.29	2.73	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M01009.wav	H1NF111n3M01009.wav	1				1	1	Myca	0.9695			49.96		2.50		9.70	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
